museum,title,date,url,description,scraped_at
The Met,Before Yesterday We Could Fly: An Afrofuturist Period Room,Before Yesterday We Could Fly: An Afrofuturist Period Room,https://www.metmuseum.org/exhibitions/afrofuturist-period-room,"The Met’s latest Bulletin features texts that honor the real, lived history of the Seneca Village residents and explores works by Black creators from the eighteenth century to the present day through the lens of Afrofuturism. The publication also includes an original graphic novella by author and illustrator John Jennings.",2025-09-29T00:29:23.679727
The Met,Divine Egypt,Divine Egypt,https://www.metmuseum.org/exhibitions/divine-egypt,This captivating publication outlines the rich iconography used to represent Egyptian deities and explores how these representations evolved alongside the roles of the gods themselves.,2025-09-29T00:29:23.679727
The Met,"Spectrum of Desire: Love, Sex, and Gender in the Middle Ages","Spectrum of Desire: Love, Sex, and Gender in the Middle Ages",https://www.metmuseum.org/exhibitions/spectrum-of-desire-love-sex-and-gender-in-the-middle-ages,"Discover a world of powerful desires and fluid identities in the art of the Middle Ages. Set in the stunning atmosphere of The Met Cloisters, Spectrum of Desire explores the often-overlooked themes of sexuality and gender in the medieval past, a period of time when most artistic production served religious purposes.",2025-09-29T00:29:23.679727
The Met,Seeing Silence: The Paintings of Helene Schjerfbeck,Seeing Silence: The Paintings of Helene Schjerfbeck,https://www.metmuseum.org/exhibitions/seeing-silence-the-paintings-of-helene-schjerfbeck,"Beloved in Nordic countries for her highly original style, Finnish painter Helene Schjerfbeck (1862–1946) is relatively unknown to the rest of the world. Overcoming immense personal struggles and working in a remote location for decades, she produced a powerful body of work through sheer force of will. This exhibition affirms her rightful place in the story of modern art.",2025-09-29T00:29:23.679727
The Met,Raphael: Sublime Poetry,Raphael: Sublime Poetry,https://www.metmuseum.org/exhibitions/raphael-sublime-poetry,"Dive into the artistic process of one of history’s most beloved and influential artists. A true titan of the Italian Renaissance, Raffaello di Giovanni Santi (1483–1520)—better known as Raphael—matched ambition with lyricism to create works with both intellectual heft and emotional depth, a necessary skill in the complex political landscape of Renaissance courts. In his short life of only 37 years, he achieved such profound success as a painter, designer, and architect that he was regarded as th",2025-09-29T00:29:23.679727
Guggenheim,Rashid Johnson: A Poem for Deep Thinkers,"April 18, 2025–January 19, 2026",https://www.guggenheim.org/exhibition/rashid-johnson-a-poem-for-deep-thinkers,"For nearly 30 years, artist Rashid Johnson (b. 1977, Chicago) has cultivated a diverse body of work that draws upon an array of disciplines such as history, philosophy, literature, and music. This major solo exhibition highlights Johnson’s role as a scholar of art history, a mediator of Black popular culture, and as a creative force in contemporary art. Almost 90 works—from black-soap paintings and spray-painted text works to large-scale sculptures, film, and video—fill the museum’s rotunda, inc",2025-09-29T00:29:23.679727
Guggenheim,Collection in Focus | Modern European Currents,,https://www.guggenheim.org/exhibition/collection-in-focus-modern-european-currents,"At the beginning of the twentieth century, artists across Europe reimagined the possibilities of painting to reflect their rapidly changing world. Influenced by sweeping social and economic changes and energized by the avant-garde, they broke from tradition to experiment with vivid color, flattened forms, and heightened emotional expression. Modern European Currents, featuring works from the Guggenheim’s collection by Natalia Goncharova, Vasily Kandinsky, Franz Marc, and more, captures this pivo",2025-09-29T00:29:23.679727
Guggenheim,Thannhauser Collection,,https://www.guggenheim.org/exhibition/thannhauser-collection,"The Thannhauser Collection, formed by the collector and art dealer Justin K. Thannhauser (1892–1976), introduced to the Guggenheim’s holdings works by such groundbreaking artists as Edgar Degas, Édouard Manet, and Vincent van Gogh, and more than thirty examples by Pablo Picasso. This major gift provides an important survey of late 19th- and early 20th-century modernism. It was during this critical period—as artists sought to liberate art from academic genres and introduce contemporary subject ma",2025-09-29T00:29:23.679727
Guggenheim,Gabriele Münter: Contours of a World,"November 7, 2025–April 26, 2026",https://www.guggenheim.org/exhibition/gabriele-munter,"Gabriele Münter was at the forefront of modern art in early 20th-century Europe. Constantly experimenting, she revitalized landscape, still life, and portrait painting, transforming everyday subjects into bold, original works. Rather than imitating reality, she sought to “convey an essence,” offering an alternative to modernist movements that favored pure abstraction. This exhibition highlights Münter’s lifelong commitment to subjects rooted in daily life and shaped by travel, place, and communi",2025-09-29T00:29:23.679727
Guggenheim,Collection in Focus | Robert Rauschenberg: Life Can’t Be Stopped,"October 10, 2025–May 3, 2026",https://www.guggenheim.org/exhibition/collection-in-focus-robert-rauschenberg-life-cant-be-stopped,"This exhibition features over a dozen seminal works from the Guggenheim’s collection along with major loans from the Robert Rauschenberg Foundation, which together highlight the artist’s radical use of materials and media. Celebrating Rauschenberg’s 100th birthday, the show joins a global tribute to Rauschenberg’s boundary-pushing creativity, experimental spirit, and lasting impact on contemporary art. The centerpiece of the exhibition is Barge (1962–63), a monumental 32-foot-long silkscreen pai",2025-09-29T00:29:23.679727
Guggenheim,Collection in Focus | Beatriz Milhazes: Rigor and Beauty,"March 7–September 14, 2025",https://www.guggenheim.org/exhibition/beatriz-milhazes,"This exhibition presents the work of global contemporary artist Beatriz Milhazes (b. 1960, Rio de Janeiro), who engages with her Brazilian cultural heritage and identity through the language of abstraction. The artist’s complex body of work spans four decades—from the 1980s to the present—and encompasses sculpture, collage, print, textiles, public art, and especially painting. This focused exhibition features a group of fifteen paintings and works on paper from 1995 to 2023, drawn from the museu",2025-09-29T00:29:23.679727
Guggenheim,Collection in Focus | The Reach of Faith Ringgold,"May 9–September 14, 2025",https://www.guggenheim.org/exhibition/faith-ringgold,"Explore Woman on a Bridge #1 of 5: Tar Beach (1988), one of the most important works by Faith Ringgold, a renowned artist, writer, and activist. This monumental quilt, the first in a series of five, tells the story of a young girl who dreams of flying from her Harlem rooftop to celebrate her own freedom and self-possession. This exhibition dives into Ringgold’s artistic influences and the lasting impact she has had on later generations of artists. Alongside Tar Beach, visitors will see works fro",2025-09-29T00:29:23.679727
Guggenheim,By Way Of: Material and Motion in the Guggenheim Collection,"March 15, 2024–June 8, 2025",https://www.guggenheim.org/exhibition/by-way-of-material-and-motion-in-the-guggenheim-collection,"One of the most prominent features of art from the late eighteenth century onwards, particularly after World War II, is artists’ tendency to evolve traditional artmaking methods outside the studio’s boundaries. This exhibition examines the ways in which contemporary artists enacted new ideas formed by the social and historical contexts of their time and pushed the boundaries of artmaking and materials as a result. By Way Of offers a suite of works from the museum’s permanent collection inspired ",2025-09-29T00:29:23.679727
Guggenheim,Collection in Focus | Piet Mondrian: Ever further,"November 22, 2024–April 20, 2025",https://www.guggenheim.org/exhibition/piet-mondrian-even-further,"This exhibition presents a selection of paintings and drawings by Piet Mondrian from the Guggenheim’s singular collection, one of the most representative in the world. Throughout his career, Mondrian made distinctive contributions to the development of abstract art. He sought to move painting away from the representation of nature to render a universal essence or spirit. This exhibition showcases works that chronicle the evolution of the Dutch-born painter’s signature style, from his early exper",2025-09-29T00:29:23.679727
Guggenheim,"Harmony and Dissonance: Orphism in Paris, 1910–1930","November 8, 2024–March 9, 2025",https://www.guggenheim.org/exhibition/harmony-and-dissonance-orphism-in-paris-1910-1930,"Featuring over 90 artworks in the museum’s iconic rotunda, this major exhibition examines the vibrant abstract art of Orphism. It explores the transnational movement’s developments in Paris, addressing the impact dance, music, and poetry had on the art, among other themes. Orphism emerged in the early 1910s, when the innovations brought about by modern life were radically altering conceptions of time and space. Artists connected to Orphism engaged with ideas of simultaneity in kaleidoscopic comp",2025-09-29T00:29:23.679727
Guggenheim,Jenny Holzer: Light Line,"May 17–September 29, 2024",https://www.guggenheim.org/exhibition/jenny-holzer,"This exhibition presented a reimagination of Jenny Holzer’s landmark 1989 installation at the Guggenheim. Climbing all six ramps of the Frank Lloyd Wright-designed rotunda to the building’s apex, the site-specific installation transformed the building with a display of scrolling texts, featuring selections from her iconic series, such as “Truisms” and “Inflammatory Essays”. Light Line highlighted the incisive use of the written word across time and media in Holzer’s practice. In addition to the ",2025-09-29T00:29:23.679727
